ccf_ap	ccf_dv	ccf_lr	allen_ontology
4432.3	4699.7	5002.3	LS
4428.4	4699.7	4970.6	LS
4431.3	4680	5018.6	LS
4427.3	4680	4986.8	LS
4426.3	4660.2	5003.1	LS
4422.4	4660.2	4971.3	LS
4425.3	4640.4	5019.3	LS
4421.4	4640.4	4987.5	LS
4420.4	4620.6	5003.8	LS
4416.5	4620.6	4972	LS
4419.4	4600.9	5020	LS
4415.5	4600.9	4988.3	LS
4414.5	4581.1	5004.5	LS
4410.5	4581.1	4972.8	LS
4413.5	4561.3	5020.8	LS
4409.5	4561.3	4989	LS
4408.5	4541.5	5005.3	LS
4404.6	4541.5	4973.5	LS
4407.5	4521.8	5021.5	LS
4403.6	4521.8	4989.7	LS
4402.6	4502	5006	LS
4398.7	4502	4974.2	LS
4401.6	4482.2	5022.2	LS
4397.7	4482.2	4990.5	LS
4396.7	4462.4	5006.7	LS
4392.7	4462.4	4975	LS
4395.6	4442.7	5023	LS
4391.7	4442.7	4991.2	LS
4390.7	4422.9	5007.5	LS
4386.8	4422.9	4975.7	LS
4389.7	4403.1	5023.7	LS
4385.8	4403.1	4991.9	LS
4384.8	4383.3	5008.2	LS
4380.9	4383.3	4976.4	LS
4383.8	4363.6	5024.4	LS
4379.9	4363.6	4992.7	LS
4374.9	4343.8	4977.2	LS
4377.8	4324	5025.2	LS
4373.9	4324	4993.4	LS
4372.9	4304.2	5009.7	LS
4369	4304.2	4977.9	LS
4371.9	4284.5	5025.9	LS
4368	4284.5	4994.1	LS
4367	4264.7	5010.4	LS
4363.1	4264.7	4978.6	LS
4366	4244.9	5026.6	LS
4362	4244.9	4994.9	LS
4361	4225.1	5011.1	LS
4357.1	4225.1	4979.4	LS
4360	4205.4	5027.4	LS
4356.1	4205.4	4995.6	LS
4355.1	4185.6	5011.9	LS
4351.2	4185.6	4980.1	LS
4354.1	4165.8	5028.1	LS
4350.2	4165.8	4996.3	LS
4349.2	4146	5012.6	LS
4345.2	4146	4980.8	LS
4348.2	4126.3	5028.8	LS
4344.2	4126.3	4997.1	LS
4343.2	4106.5	5013.3	LS
4339.3	4106.5	4981.6	LS
4342.2	4086.7	5029.6	LS
4338.3	4086.7	4997.8	LS
4337.3	4066.9	5014.1	LS
4333.4	4066.9	4982.3	LS
4336.3	4047.2	5030.3	LS
4332.4	4047.2	4998.5	LS
4331.4	4027.4	5014.8	LS
4327.4	4027.4	4983	LS
4330.3	4007.6	5031	LS
4326.4	4007.6	4999.3	LS
4325.4	3987.8	5015.5	LS
4321.5	3987.8	4983.8	LS
4324.4	3968.1	5031.8	LS
4319.5	3948.3	5016.3	LS
4315.6	3948.3	4984.5	LS
4318.5	3928.5	5032.5	LS
4314.6	3928.5	5000.7	LS
4313.5	3908.7	5017	LS
4309.6	3908.7	4985.2	LS
4312.5	3889	5033.2	LS
4308.6	3889	5001.5	LS
4307.6	3869.2	5017.7	LS
4303.7	3869.2	4986	LS
4306.6	3849.4	5034	LS
4302.7	3849.4	5002.2	LS
4301.7	3829.6	5018.5	LS
4297.8	3829.6	4986.7	LS
4300.7	3809.9	5034.7	LS
4296.7	3809.9	5002.9	LS
4295.7	3790.1	5019.2	LS
4291.8	3790.1	4987.4	LS
4294.7	3770.3	5035.4	LS
4290.8	3770.3	5003.7	LS
4289.8	3750.5	5019.9	LS
4285.9	3750.5	4988.2	LS
4288.8	3730.8	5036.2	LS
4284.9	3730.8	5004.4	LS
4283.9	3711	5020.7	LS
4279.9	3711	4988.9	LS
4282.9	3691.2	5036.9	LS
4278.9	3691.2	5005.1	LS
4277.9	3671.4	5021.4	LS
4274	3671.4	4989.6	LS
4276.9	3651.7	5037.6	LS
4273	3651.7	5005.9	LS
4272	3631.9	5022.1	LS
4268.1	3631.9	4990.4	LS
4271	3612.1	5038.4	LS
4267.1	3612.1	5006.6	LS
4262.1	3592.3	4991.1	LS
4265.1	3572.6	5039.1	LS
4261.1	3572.6	5007.3	LS
4260.1	3552.8	5023.6	LS
4256.2	3552.8	4991.8	LS
4259.1	3533	5039.8	LS
4255.2	3533	5008.1	LS
4254.2	3513.2	5024.3	LS
4250.3	3513.2	4992.6	LS
4253.2	3493.5	5040.6	LS
4249.3	3493.5	5008.8	root
4248.2	3473.7	5025.1	root
4244.3	3473.7	4993.3	root
4247.2	3453.9	5041.3	root
4243.3	3453.9	5009.5	root
4242.3	3434.1	5025.8	root
4238.4	3434.1	4994	root
4241.3	3414.4	5042	root
4237.4	3414.4	5010.3	root
4236.4	3394.6	5026.5	root
4232.5	3394.6	4994.8	root
4235.4	3374.8	5042.8	root
4231.4	3374.8	5011	root
4230.4	3355	5027.3	root
4226.5	3355	4995.5	root
4229.4	3335.3	5043.5	root
4225.5	3335.3	5011.7	root
4224.5	3315.5	5028	root
4220.6	3315.5	4996.2	root
4223.5	3295.7	5044.2	root
4219.6	3295.7	5012.5	root
4218.6	3275.9	5028.7	root
4214.6	3275.9	4997	root
4217.6	3256.2	5045	root
4213.6	3256.2	5013.2	root
4212.6	3236.4	5029.5	root
4208.7	3236.4	4997.7	root
4211.6	3216.6	5045.7	root
4206.7	3196.8	5030.2	root
4202.8	3196.8	4998.4	root
4205.7	3177.1	5046.4	root
4201.8	3177.1	5014.7	root
4200.8	3157.3	5030.9	root
4196.8	3157.3	4999.2	root
4199.8	3137.5	5047.2	root
4195.8	3137.5	5015.4	root
4194.8	3117.7	5031.7	root
4190.9	3117.7	4999.9	root
4193.8	3098	5047.9	root
4189.9	3098	5016.1	root
4188.9	3078.2	5032.4	root
4185	3078.2	5000.6	root
4187.9	3058.4	5048.6	root
4184	3058.4	5016.9	root
4183	3038.6	5033.1	root
4179	3038.6	5001.4	root
4181.9	3018.9	5049.4	root
4178	3018.9	5017.6	root
4177	2999.1	5033.9	root
4173.1	2999.1	5002.1	root
4176	2979.3	5050.1	ACA
4172.1	2979.3	5018.3	ACA
4171.1	2959.5	5034.6	ACA
4167.2	2959.5	5002.8	ACA
4170.1	2939.8	5050.8	ACA
4166.1	2939.8	5019.1	ACA
4165.1	2920	5035.3	ACA
4161.2	2920	5003.6	ACA
4164.1	2900.2	5051.6	ACA
4160.2	2900.2	5019.8	ACA
4159.2	2880.4	5036	ACA
4155.3	2880.4	5004.3	ACA
4158.2	2860.7	5052.3	ACA
4154.3	2860.7	5020.5	ACA
4149.3	2840.9	5005	ACA
4152.3	2821.1	5053	ACA
4148.3	2821.1	5021.3	ACA
4147.3	2801.3	5037.5	ACA
4143.4	2801.3	5005.8	ACA
4146.3	2781.6	5053.8	ACA
4142.4	2781.6	5022	ACA
4141.4	2761.8	5038.2	ACA
4137.5	2761.8	5006.5	ACA
4140.4	2742	5054.5	ACA
4136.5	2742	5022.7	ACA
4135.5	2722.2	5039	ACA
4131.5	2722.2	5007.2	ACA
4134.5	2702.5	5055.2	ACA
4130.5	2702.5	5023.5	ACA
4129.5	2682.7	5039.7	ACA
4125.6	2682.7	5008	ACA
4128.5	2662.9	5056	ACA
4124.6	2662.9	5024.2	ACA
4123.6	2643.1	5040.4	ACA
4119.7	2643.1	5008.7	ACA
4122.6	2623.4	5056.7	ACA
4118.7	2623.4	5024.9	ACA
4117.7	2603.6	5041.2	ACA
4113.7	2603.6	5009.4	ACA
4116.6	2583.8	5057.4	ACA
4112.7	2583.8	5025.7	ACA
4111.7	2564	5041.9	ACA
4107.8	2564	5010.2	ACA
4110.7	2544.3	5058.2	ACA
4106.8	2544.3	5026.4	ACA
4105.8	2524.5	5042.6	ACA
4101.9	2524.5	5010.9	ACA
4104.8	2504.7	5058.9	ACA
4100.9	2504.7	5027.1	ACA
4099.8	2484.9	5043.4	ACA
4095.9	2484.9	5011.6	ACA
4098.8	2465.2	5059.6	ACA
4093.9	2445.4	5044.1	ACA
4090	2445.4	5012.4	ACA
4092.9	2425.6	5060.4	ACA
4089	2425.6	5028.6	ACA
4088	2405.8	5044.8	ACA
4084	2405.8	5013.1	ACA
4087	2386.1	5061.1	ACA
4083	2386.1	5029.3	ACA
4082	2366.3	5045.6	ACA
4078.1	2366.3	5013.8	ACA
4081	2346.5	5061.8	ACA
4077.1	2346.5	5030.1	ACA
4076.1	2326.7	5046.3	ACA
4072.2	2326.7	5014.6	ACA
4075.1	2307	5062.6	ACA
4071.2	2307	5030.8	ACA
4070.2	2287.2	5047	ACA
4066.2	2287.2	5015.3	ACA
4069.2	2267.4	5063.3	ACA
4065.2	2267.4	5031.5	ACA
4064.2	2247.6	5047.8	ACA
4060.3	2247.6	5016	ACA
4063.2	2227.9	5064	ACA
4059.3	2227.9	5032.3	ACA
4058.3	2208.1	5048.5	ACA
4054.4	2208.1	5016.8	ACA
4057.3	2188.3	5064.8	ACA
4053.4	2188.3	5033	ACA
4052.4	2168.5	5049.2	ACA
4048.4	2168.5	5017.5	ACA
4051.3	2148.8	5065.5	ACA
4047.4	2148.8	5033.7	ACA
4046.4	2129	5050	ACA
4042.5	2129	5018.2	ACA
4045.4	2109.2	5066.2	ACA
4041.5	2109.2	5034.5	ACA
4036.6	2089.4	5019	ACA
4039.5	2069.7	5067	ACA
4035.6	2069.7	5035.2	MOs
4034.5	2049.9	5051.4	MOs
4030.6	2049.9	5019.7	MOs
4033.5	2030.1	5067.7	MOs
4029.6	2030.1	5035.9	MOs
4028.6	2010.3	5052.2	MOs
4024.7	2010.3	5020.4	MOs
4027.6	1990.6	5068.4	MOs
4023.7	1990.6	5036.7	MOs
4022.7	1970.8	5052.9	MOs
4018.8	1970.8	5021.2	MOs
4021.7	1951	5069.2	MOs
4017.7	1951	5037.4	MOs
4016.7	1931.2	5053.6	MOs
4012.8	1931.2	5021.9	MOs
4015.7	1911.5	5069.9	MOs
4011.8	1911.5	5038.1	MOs
4010.8	1891.7	5054.4	MOs
4006.9	1891.7	5022.6	MOs
4009.8	1871.9	5070.6	MOs
4005.9	1871.9	5038.9	MOs
4004.9	1852.1	5055.1	MOs
4000.9	1852.1	5023.4	MOs
4003.9	1832.4	5071.4	MOs
3999.9	1832.4	5039.6	MOs
3998.9	1812.6	5055.8	MOs
3995	1812.6	5024.1	MOs
3997.9	1792.8	5072.1	MOs
3994	1792.8	5040.3	MOs
3993	1773	5056.6	MOs
3989.1	1773	5024.8	MOs
3992	1753.3	5072.8	MOs
3988.1	1753.3	5041.1	MOs
3987.1	1733.5	5057.3	MOs
3983.1	1733.5	5025.6	MOs
3986	1713.7	5073.6	MOs
3981.1	1693.9	5058	MOs
3977.2	1693.9	5026.3	MOs
3980.1	1674.2	5074.3	MOs
3976.2	1674.2	5042.5	MOs
3975.2	1654.4	5058.8	MOs
3971.3	1654.4	5027	MOs
3974.2	1634.6	5075	MOs
3970.3	1634.6	5043.3	MOs
3969.2	1614.8	5059.5	MOs
3965.3	1614.8	5027.8	MOs
3968.2	1595.1	5075.8	MOs
3964.3	1595.1	5044	MOs
3963.3	1575.3	5060.2	MOs
3959.4	1575.3	5028.5	MOs
3962.3	1555.5	5076.5	MOs
3958.4	1555.5	5044.7	MOs
3957.4	1535.7	5061	MOs
3953.5	1535.7	5029.2	MOs
3956.4	1516	5077.2	MOs
3952.4	1516	5045.5	MOs
3951.4	1496.2	5061.7	MOs
3947.5	1496.2	5029.9	MOs
